Index,Title,Description,Amount(in rupees),Price (in rupees),location,Carpet Area,Status,Floor,Transaction,Furnishing,facing,overlooking,Society,Bathroom,Balcony,Car Parking,Ownership,Super Area,Dimensions,Plot Area
98763,3 BHK Ready to Occupy Flat for sale in Elita Garden Vista Action Area III,"3BHK with 1956 sqft flat available for sale in a most renowned complex Alaktika in New Town AA3, which is well connected from all basic necessity, this flat is located in north east corner, with a covered register car parking space. All modern amenities like Intercom facility, security personnel, maintenance staff, park, water storage, club house, community center, fitness centre. Area is quite calm ideal for leaving with family.",1.21 Cr ,6189.0,kolkata,1450.0,Ready to Move,18.0,Resale,Furnished,North - East,Garden/Park,Elita Garden Vista,3.0,2,1 Covered,Freehold,,,
112567,"2 BHK Ready to Occupy Flat for sale in Siddha Town Chinar Park, Rajarhat","Multistorey apartment is available for sale. It has covered area of 850 sq-ft, it is a good location property. Please contact for more details.",34 Lac ,4000.0,kolkata,780.0,Ready to Move,2.0,Resale,Semi-Furnished,,,Siddha Town,2.0,2,,,,,
81305,3 BHK Ready to Occupy Flat for sale Manikonda Jagir,"One can find this stunning 3 BHK flat for sale in Manikonda Jagir, Hyderabad. Invest your valuable money in this flat that is for resale. This apartment ready to move in the Manikonda Jagir is available for an attractive price of INR 1.40 Cr. The flat is sold in semi-furnished condition.",1.40 Cr ,6931.0,hyderabad,1700.0,Ready to Move,2.0,Resale,Semi-Furnished,East,Main Road,,3.0,2,,Freehold,,,
181241,2 BHK Ready to Occupy Flat for sale Akota,"This gorgeous 2 BHK Flat is available for sale in Akota, Vadodara. This flat all equipped with required facilities, is up for resale. This apartment ready to move in the Akota is available for an attractive price of INR 47 Lac. It is a unfurnished apartment.",47 Lac ,2938.0,vadodara,1100.0,Ready to Move,4.0,Resale,Unfurnished,,Garden/Park,,2.0,2,,Freehold,,,
18108,"2 BHK Ready to Occupy Flat for sale Garden Villas, Vijayanagar","This gorgeous 2 BHK Flat is available for sale in Garden Villas, Bangalore. This apartment for resale is a great choice. This ready to move flat is offered at an economical price of INR 80 Lac. The spacious apartment is furnished.",80 Lac ,6667.0,bangalore,1000.0,Ready to Move,4.0,Resale,Furnished,,,,2.0,2,,,,,
154536,3 BHK Ready to Occupy Flat for sale Sector 85,"Sector 85, Faridabad has an attractive 3 BHK Flat for sale. This premium flat is available for sale at an unbelievable price, so, grab it before it's gone! This ready to move flat located in Sector 85 is available for purchase at a fair price of INR 1.15 Cr. It is a semi-furnished apartment. aravali international school are a few nearby landmarks.",1.15 Cr ,5111.0,faridabad,1850.0,Ready to Move,1.0,New Property,Semi-Furnished,East,Main Road,,3.0,2,"2 Covered,",Freehold,,,
138568,2 BHK Ready to Occupy Flat for sale Pahar Ganj,"This gorgeous 2 BHK Flat is available for sale in Pahar Ganj, New Delhi. This flat for resale has a desirable location. This ready to move property in Pahar Ganj is readily available within an affordable cost of INR 51 Lac. The flat is sold in unfurnished condition.",51 Lac ,6667.0,new-delhi,675.0,Ready to Move,4.0,Resale,Unfurnished,East,,,2.0,,10 Open,Freehold,,,
137524,1 BHK Ready to Occupy Flat for sale Uttam Nagar West,"One can find this stunning 1 BHK flat for sale in Uttam Nagar West, New Delhi. Your search ends here, because this flat for resale is among the best bargains in town. This ready to move flat in Uttam Nagar West can be taken at a very economical pricing of INR 18 Lac. The flat is available in furnished condition.",18 Lac ,18000.0,new-delhi,50.0,Ready to Move,1.0,Resale,Furnished,,,,1.0,1,,,,,
16792,3 BHK Ready to Occupy Flat for sale in Prestige Elysian Bannerghatta Main Road,"Have a look at this immaculate 3 BHK flat for sale in Bannerghatta Main Road, Bangalore. Ideally situated in the Prestige Elysian township it enjoys a prime location. Your hunt for the perfect apartment for sale comes to an end here. This ready to move flat located in Bannerghatta Main Road is available for purchase at a fair price of INR 1.50 Cr. Its possession date is Aug '23. The flat is available in unfurnished condition. property is located next to metro station. are some major landmarks near the apartment.",1.50 Cr ,11177.0,bangalore,1000.0,Ready to Move,5.0,New Property,Unfurnished,West,"Garden/Park, Main Road",,2.0,1,1 Covered,Freehold,,,
91555,"2 BHK Ready to Occupy Flat for sale in Ideal Heights Sealdah, Raja Bazar",,1 Cr ,8850.0,kolkata,900.0,Ready to Move,6.0,Resale,Unfurnished,East,"Pool, Main Road",Ideal Heights,2.0,1,,Freehold,,,
127397,3 BHK Ready to Occupy Flat for sale in DDA Sanskriti Apartments DS 19,"One can find this stunning 3 BHK flat for sale in Dwarka Sector 19, New Delhi. It is in a prime location within the Dda Sanskriti Apartments. This premium flat is available for resale at an unbelievable price, so, grab it before it's gone! This apartment in one of the significant areas of Dwarka Sector 19 is ready to move, and can be purchased at the best price of INR 1.56 Cr. The flat is semi-furnished and is suitable for any family size. The flat is easily approachable because it is near to opg world school.",1.56 Cr ,9750.0,new-delhi,1350.0,Ready to Move,3.0,Resale,Semi-Furnished,East,"Garden/Park, Main Road",DDA Sanskriti Apartments,2.0,3,"1 Covered,",Freehold,,,
131378,3 BHK Ready to Occupy Flat for sale in Defence Officers Apartment Dwarka Sector 4,"Creatively planned and constructed is a 3 BHK flat for sale in Dwarka Sector 4, New Delhi. This flat is placed in a marvellous location within the Defence Officers Apartment complex. This flat all equipped with required facilities, is up for resale. This ready to move flat in Dwarka Sector 4 comes at an affordable price of INR 1.58 Cr. Available in semi-furnished state, this flat is a great buy. The flat is easily approachable because it is near to nk bagrodia public school.",1.58 Cr ,9875.0,new-delhi,1300.0,Ready to Move,5.0,Resale,Semi-Furnished,East,Garden/Park,Defence Officers Apartment,2.0,2,"1 Covered,",Freehold,,,
370,1 BHK Ready to Occupy Flat for sale in Vijay Garden Kavesar,"Discover this immaculate 1 BHK flat for sale at the pristine Kavesar in Thane. This flat is situated in the Vijay Garden township and is equipped with premium facilities. This flat for resale is a choice property. You can buy this ready to move flat in Kavesar at a reasonable price of INR 54.5 Lac. The flat is semi-furnished and makes for an ideal choice for any family. opp. dmart, kavesar, ghodbunder road, thane west are some of the well-known landmarks in this locality.",54.5 Lac ,9478.0,thane,415.0,Ready to Move,4.0,Resale,Semi-Furnished,East,Main Road,Vijay Garden,1.0,,,Freehold,,,
157546,"3 BHK Ready to Occupy Flat for sale Sector 37, Mathura Road","Up for immediate sale is a 3 BHK apartment in Sector 37, Faridabad. Don't miss this bargain flat for sale. This flat for sale is a choice property. The ready to move flat in the prime area of Sector 37 is available at a reasonable price of INR 1.10 Cr. You will find it semi-furnished. modern public school. are some of the key nearby landmarks.",1.10 Cr ,7333.0,faridabad,1400.0,Ready to Move,1.0,New Property,Semi-Furnished,East,"Garden/Park, Main Road",,3.0,2,"1 Covered,",Freehold,,,
59058,4 BHK Ready to Occupy Flat for sale in Emaar Emerald Hills Sector 65,"Up for immediate sale is a 4 BHK apartment in Sector 65, Gurgaon. Don't miss this bargain flat for sale. Ideally situated in the Emaar Emerald Hills township it enjoys a prime location. This is a desirable apartment for resale. This ready to move flat located in Sector 65 is available for purchase at a fair price of INR 2.90 Cr. The flat is sold in semi-furnished condition. The flat is in close proximity to prominent landmarks like this is a very nice landmark in emaar emerald hills sector 65..",2.90 Cr ,16111.0,gurgaon,1500.0,Ready to Move,2.0,Resale,Semi-Furnished,North - East,"Garden/Park, Pool, Main Road",Emaar Emerald Hills,4.0,4,2 Open,Leasehold,,,
162859,3 BHK Ready to Occupy Flat for sale in Twin Celestial Greater Noida West,"Greater Noida West, Greater Noida has an attractive 3 BHK Flat for sale. Situated in the Twin Celestial township, it has a prime location. This flat for sale is just the type of property you have been searching for! This ready to move flat in Greater Noida West can be taken at a very economical pricing of INR 36 Lac. This premium unfurnished flat spells quality and comfort at a competitive price.",36 Lac ,2618.0,greater-noida,1080.0,Ready to Move,4.0,New Property,Unfurnished,North - East,"Garden/Park, Pool, Main Road",Twin Celestial,2.0,1,,Freehold,,,
40773,3 BHK Ready to Occupy Flat for sale in Akshaya Today Kelambakkam,"Creatively planned and constructed is a 3 BHK flat for sale in Kelambakkam, Chennai. The property is ideally located in a strategic location in Akshaya Today township. This flat all equipped with required facilities, is up for sale. Located in Kelambakkam, this ready to move apartment is sold at a fair selling price of INR 60 Lac. The flat is unfurnished and makes for an ideal choice for any family. The prime landmarks near this property are indusion cricket ground.",60 Lac ,4815.0,chennai,897.0,Ready to Move,7.0,New Property,Unfurnished,East,Garden/Park,,2.0,2,1 Open,Freehold,,,
164103,3 BHK Ready to Occupy Flat for sale in Gaur Atulyam Omicron 1,This ready to move-in 3 BHK flat is available for sale at the premium Omicron 1 in Greater Noida. It is housed in the well-planned Gaur Atulyam township in an advantageous location. This flat for resale is the perfect property for you! This ready to move flat is offered at an economical price of INR 74 Lac. Its possession date is Jun '23. It is semi-furnished to accommodate your needs. Landmarks near the apartment include located at omircon 01 a. greater noida ..,74 Lac ,5692.0,greater-noida,975.0,Ready to Move,16.0,Resale,Semi-Furnished,North - West,Garden/Park,Gaur Atulyam,2.0,2,1 Open,Leasehold,,,
133849,3 BHK Ready to Occupy Flat for sale in Harmony Apartment Dwarka Sector 23,"Dwarka Sector 23, New Delhi has an appealing 3 BHK flat for sale with various amenities. Situated in the Harmony Apartment township, it has a prime location. This apartment for resale is a great choice. You can buy this ready to move flat in Dwarka Sector 23 at a reasonable price of INR 2.35 Cr. The apartment is semi-furnished. Landmarks near the apartment include paramount international school.",2.35 Cr ,10930.0,new-delhi,1760.0,Ready to Move,6.0,Resale,Semi-Furnished,North - East,"Garden/Park, Main Road",Harmony Apartment,4.0,3,"1 Covered,",Freehold,,,
2241,1 BHK Ready to Occupy Flat for sale in VK Skye Enclave Ghatkopar East,"This lovely 1 BHK Flat in Ghatkopar East, Mumbai is up for sale. It is housed in the well-planned Vk Skye Enclave township in an advantageous location. This is a desirable apartment for sale. In Ghatkopar East, this ready to move flat is available at an attractive price of INR 89 Lac. The apartment is unfurnished. Landmarks near the apartment include near pant nagar police station, pant nagar, ghatkopar east..",89 Lac ,13146.0,mumbai,408.0,Ready to Move,8.0,New Property,Unfurnished,East,Main Road,VK Skye Enclave,2.0,,1 Open,Freehold,,,
94071,2 BHK Ready to Occupy Flat for sale Jodhpur Gardens,"2 BHK, Multistorey Apartment is available for Sale in Jodhpur Gardens, Kolkata for 25.0 Lac(s)",25 Lac ,2917.0,kolkata,600.0,Ready to Move,2.0,Resale,Semi-Furnished,,,,2.0,1,,,,,
87103,2 BHK Ready to Occupy Flat for sale in AROHA Jagatpura,2 BHK flat available for sale in Jaipur in the prime location of Jagatpura. This flat is situated within the renown township of Aroha. Invest your valuable money in this flat that is for sale. The ready to move flat in the prime area of Jagatpura is available at a reasonable price of INR 32.5 Lac. The flat is sold in semi-furnished condition. near ghan vihar university jagatpura jaipur are some major landmarks near the apartment.,32.5 Lac ,3341.0,jaipur,732.0,Ready to Move,3.0,New Property,Semi-Furnished,East,"Garden/Park, Main Road",AROHA,2.0,1,1 Covered,Freehold,,,
162257,2 BHK Ready to Occupy Flat for sale in Supertech Eco Village 1 Greater Noida West,"Greater Noida West, Greater Noida has an attractive 2 BHK Flat for sale. It is housed in the well-planned Supertech Eco Village 1 township in an advantageous location. This is one of the best properties available for sale. The ready to move flat in the prime area of Greater Noida West is available at a reasonable price of INR 30 Lac. It is semi-furnished to accommodate your needs.",30 Lac ,3158.0,greater-noida,890.0,Ready to Move,15.0,New Property,Semi-Furnished,South - East,"Garden/Park, Pool",Supertech Eco Village 1,2.0,3,,Freehold,,,
182739,2 BHK Ready to Occupy Flat for sale in Sarvam Heights Manjalpur Manjalpur,"Manjalpur, Vadodara has an appealing 2 BHK flat for sale with various amenities. It is in a prime location within the Sarvam Heights Manjalpur. Invest your valuable money in this flat that is for resale. The ready to move flat in Manjalpur is all ready for sale at a low-priced budget of INR 42 Lac. This semi-furnished flat is strategically designed with all the amenities to enhance the living experience.",42 Lac ,3401.0,vadodara,830.0,Ready to Move,2.0,Resale,Semi-Furnished,,,Sarvam Heights Manjalpur,2.0,2,,,,,
110838,4 BHK Ready to Occupy Flat for sale in Kshitij Dum Dum,"At Kshitij, you can compete on the court, relax with your friends and family in the community areas or read your favourite book under the gentle shade of a tree. It is all about creating a property that is geographically centered around your life and your dayto day needs. You will be spoilt for choice after all, you deserve to be at the very centre of attention. Co Promoted",1.36 Cr ,6904.0,kolkata,1349.0,Ready to Move,,Resale,Unfurnished,South,"Garden/Park, Main Road",Kshitij,3.0,1,1 Covered,Freehold,,,
126604,1 BHK Ready to Occupy Flat for sale Uttam Nagar West,"One can find this stunning 1 BHK flat for sale in Uttam Nagar West, New Delhi. Your search ends here, because this flat for resale is among the best bargains in town. This ready to move flat in Uttam Nagar West can be taken at a very economical pricing of INR 18 Lac. The flat is available in furnished condition.",18 Lac ,18000.0,new-delhi,50.0,Ready to Move,1.0,Resale,Furnished,,,,1.0,1,,,,,
69556,"3 BHK Ready to Occupy Flat for sale in Malibu Town Malibu Town, Sector 47","Creatively planned and constructed is a 3 BHK flat for sale in Malibu Town, Gurgaon. Ideally situated in the Malibu Town township it enjoys a prime location. This flat is available as a sale property. You can buy this ready to move flat in Malibu Town at a reasonable price of INR 1.75 Cr. The spacious apartment is semi-furnished. The prime landmarks near this property are opp. jmd megapolis.",1.75 Cr ,12963.0,gurgaon,1296.0,Ready to Move,2.0,New Property,Semi-Furnished,East,"Garden/Park, Main Road",Malibu Town,3.0,2,2 Covered,Freehold,,,
35310,3 BHK Ready to Occupy Flat for sale in Sriven Rag Metropole J P Nagar,"JP Nagar, Bangalore has an attractive 3 BHK Flat for sale. Strategically situated in the Sriven Rag Metropole site, it is placed at a prime location. This apartment is a property of choice for resale. This ready to move flat is offered at an economical price of INR 63 Lac. You will find it semi-furnished. Landmarks near the apartment include national public school.",63 Lac ,3877.0,bangalore,1435.0,Ready to Move,3.0,Resale,Semi-Furnished,East,,,3.0,3,"1 Covered,",Freehold,,,
70093,2 BHK Ready to Occupy Flat for sale in SV Residency Himayatnagar,"This attractive 2 BHK apartment can be found for sale in Himayatnagar, Hyderabad. This flat is situated in the Sv Residency township and is equipped with premium facilities. This flat for resale is a choice property. The ready to move flat in the prime area of Himayatnagar is available at a reasonable price of INR 55 Lac. This unfurnished flat is strategically designed with all the amenities to enhance the living experience.",55 Lac ,5789.0,hyderabad,900.0,Ready to Move,4.0,Resale,Unfurnished,East,,,2.0,,,Freehold,,,
157689,"3 BHK Ready to Occupy Flat for sale Greenfield Colony, Mathura Road","This exquisite 3 BHK Flat is offered for sale in Greenfield Colony, Faridabad. This apartment is a property of choice for resale. This apartment in one of the significant areas of Greenfield Colony is ready to move, and can be purchased at the best price of INR 45 Lac. It is a semi-furnished apartment.",45 Lac ,3000.0,faridabad,1300.0,Ready to Move,2.0,Resale,Semi-Furnished,North,Main Road,,2.0,2,,Freehold,,,
127850,3 BHK Ready to Occupy Flat for sale in Sarve Satyam Apartment Dwarka Sector 4,"Up for immediate sale is a 3 BHK apartment in Dwarka Sector 4, New Delhi. Don't miss this bargain flat for sale. It is housed in the well-planned Sarve Satyam Apartment township in an advantageous location. This is one of the best properties available for resale. You can buy this ready to move flat in Dwarka Sector 4 at a reasonable price of INR 1.92 Cr. This immaculate flat boasts of coming in semi-furnished form which takes the entire deal to the next level. Prominent landmarks in and around this locality are modern convent school.",1.92 Cr ,10667.0,new-delhi,1600.0,Ready to Move,7.0,Resale,Semi-Furnished,North - East,"Garden/Park, Main Road",Sarve Satyam Apartment,3.0,4,"1 Covered,",Freehold,,,
38389,"2 BHK Ready to Occupy Flat for sale A Narayanapura, Mahadevapura","This gorgeous 2 BHK Flat is available for sale in A Narayanapura, Bangalore. This flat for resale is a choice property. This ready to move flat located in A Narayanapura is available for purchase at a fair price of INR 65 Lac. The flat is available in semi-furnished condition.",65 Lac ,4062.0,bangalore,1050.0,Ready to Move,4.0,Resale,Semi-Furnished,East,,,2.0,2,,,,,
36064,3 BHK Ready to Occupy Flat for sale in Bhartiya City Nikoo Homes Phase 2 Thanisandra Main Road,"Thanisandra Main Road, Bangalore has an appealing 3 BHK flat for sale with various amenities. Ideally situated in the Bhartiya City Nikoo Homes Phase 2 township it enjoys a prime location. This flat is an attractive property for resale. This ready to move property in Thanisandra Main Road is readily available within an affordable cost of INR 3.10 Cr. The possession date of the flat stands at Jul '22. This immaculate flat boasts of coming in semi-furnished form which takes the entire deal to the next level.",3.10 Cr ,13108.0,bangalore,1415.0,Ready to Move,32.0,Resale,Semi-Furnished,East,,,3.0,3,,,,,
117354,4 BHK Ready to Occupy Flat for sale DS 19,"This ready to move-in 4 BHK flat is available for sale at the premium Dwarka Sector 19 in New Delhi. Your hunt for the perfect apartment for sale comes to an end here. This apartment in one of the significant areas of Dwarka Sector 19 is ready to move, and can be purchased at the best price of INR 2.30 Cr. The flat is furnished and makes for an ideal choice for any family. Some nearby landmarks are vardhaman mall..",2.30 Cr ,10222.0,new-delhi,2150.0,Ready to Move,2.0,New Property,Furnished,West,"Garden/Park, Main Road",,4.0,1,"2 Covered,",Freehold,,,
182844,2 BHK Ready to Occupy Flat for sale Manjalpur,This ready to move-in 2 BHK flat is available for sale at the premium Manjalpur in Vadodara. This apartment is a property of choice for resale. This ready to move property in Manjalpur is readily available within an affordable cost of INR 35 Lac. The flat is semi-furnished and makes for an ideal choice for any family.,35 Lac ,4762.0,vadodara,800.0,Ready to Move,4.0,Resale,Semi-Furnished,,,,1.0,1,,Co-operative Society,,,
111477,2 BHK Ready to Occupy Flat for sale in DLF New Town Heights Rajarhat,"2 BHK, Multistorey Apartment is available for Sale in Rajarhat, Kolkata for 72.0 Lac(s)",72 Lac ,5728.0,kolkata,900.0,Ready to Move,2.0,Resale,Unfurnished,East,"Pool, Garden/Park, Main Road",DLF New Town Heights,2.0,2,,,,,
179449,3 BHK Ready to Occupy Flat for sale in Pramukh Vivanta Vesu,"Up for immediate sale is a 3 BHK apartment in Vesu, Surat. Don't miss this bargain flat for sale. It is based at Pramukh Vivanta complex, that occupies a prominent place in the locality. This flat for resale is a choice property. This ready to move flat in Vesu comes at an affordable price of INR 1.35 Cr. This contemporary apartment is unfurnished. The property is constructed with proximity to major landmarks like near celebrity greens.",1.35 Cr ,5192.0,surat,1430.0,Ready to Move,5.0,Resale,Unfurnished,South,"Garden/Park, Pool",Pramukh Vivanta,3.0,1,1 Covered,Co-operative Society,,,
71446,"3 BHK Ready to Occupy Flat for sale in Rajapushpa Atria Kokapet, Outer Ring Road","3 BHK flat available for sale in Hyderabad in the prime location of Kokapet. It is based at Rajapushpa Atria complex, that occupies a prominent place in the locality. This apartment for resale is a great choice. This apartment in one of the significant areas of Kokapet is ready to move, and can be purchased at the best price of INR 3.30 Cr. The flat is uniquely designed to enhance the living style. It is furnished, studded with all the basic facilities.",3.30 Cr ,13253.0,hyderabad,2490.0,Ready to Move,9.0,Resale,Furnished,West,"Main Road, Pool",,3.0,4,,Freehold,,,
129408,3 BHK Ready to Occupy Flat for sale in Madhur Jeevan Apartment Dwarka Sector 10,"Have a look at this immaculate 3 BHK flat for sale in Dwarka Sector 10, New Delhi. Well-tucked in the Madhur Jeevan Apartment township, the property is easily accessible. This flat is available as a resale property. You can buy this ready to move flat in Dwarka Sector 10 at a reasonable price of INR 2.10 Cr. This contemporary apartment is semi-furnished. The property is constructed with proximity to major landmarks like near by market and metro station.",2.10 Cr ,11667.0,new-delhi,1400.0,Ready to Move,4.0,Resale,Semi-Furnished,North - East,"Garden/Park, Main Road",Madhur Jeevan Apartment,2.0,4,"1 Covered,",Freehold,,,
173169,1 BHK Ready to Occupy Flat for sale in Mahindra Happinest Boisar,"This attractive 1 BHK apartment can be found for sale in Boisar, Palghar. It enjoys an excellent location within the Mahindra Happinest. This flat is available as a resale property. This ready to move flat in Boisar comes at an affordable price of INR 25 Lac. The flat is unfurnished and is suitable for any family size. near eklavya school are some of the key nearby landmarks.",25 Lac ,4789.0,palghar,385.0,Ready to Move,4.0,Resale,Unfurnished,South,Garden/Park,Mahindra Happinest,1.0,1,,Co-operative Society,,,
184791,2 BHK Ready to Occupy Flat for sale in Novus Florence Village Gajwaka Jn.,"This exquisite 2 BHK Flat is offered for sale in Gajwaka Jn., Visakhapatnam. Situated in the Novus Florence Village township, it has a prime location. This is a desirable apartment for resale. This ready to move flat in Gajwaka Jn. can be availed at a reasonable price of INR 43.5 Lac. The apartment is furnished. Prominent landmarks in and around this locality are gajuwaka near police station old karne vanee palam.",43.5 Lac ,3715.0,visakhapatnam,1171.0,Ready to Move,3.0,Resale,Furnished,West,Main Road,Novus Florence Village,2.0,2,1 Covered,Freehold,,,
43591,2 BHK Ready to Occupy Flat for sale in Sri Vasantham Apartment Medavakkam,"This magnificent 2 BHK Flat is available for sale in Medavakkam, Chennai. It is based at Sri Vasantham Apartment complex, that occupies a prominent place in the locality. This flat for resale is a choice property. This ready to move flat in Medavakkam comes at an affordable price of INR 45 Lac. It is semi-furnished to accommodate your needs. Landmarks near the apartment include just 900m from medavakkam bus stop.",45 Lac ,4956.0,chennai,908.0,Ready to Move,2.0,Resale,Semi-Furnished,South,Garden/Park,,2.0,2,1 Covered,Freehold,,,
1011,2 BHK Ready to Occupy Flat for sale in Sai Proviso County Panvel,"Panvel, Navi Mumbai has an appealing 2 BHK flat for sale with various amenities. Ideally situated in the Sai Proviso County township it enjoys a prime location. This premium flat is available for resale at an unbelievable price, so, grab it before it's gone! This ready to move property in Panvel is readily available within an affordable cost of INR 60 Lac. The apartment is semi-furnished.",60 Lac ,5357.0,navi-mumbai,705.0,Ready to Move,3.0,Resale,Semi-Furnished,East,Garden/Park,Sai Proviso County,2.0,2,"1 Covered,",Freehold,,,
69376,"3 BHK Ready to Occupy Flat for sale in Malibu Town Malibu Town, Sector 47","Creatively planned and constructed is a 3 BHK flat for sale in Malibu Town, Gurgaon. Ideally situated in the Malibu Town township it enjoys a prime location. This flat is available as a sale property. You can buy this ready to move flat in Malibu Town at a reasonable price of INR 1.75 Cr. The spacious apartment is semi-furnished. The prime landmarks near this property are opp. jmd megapolis.",1.75 Cr ,12963.0,gurgaon,1296.0,Ready to Move,2.0,New Property,Semi-Furnished,East,"Garden/Park, Main Road",Malibu Town,3.0,2,2 Covered,Freehold,,,
114125,2 BHK Ready to Occupy Flat for sale in Santusthi apartment Ansal API Golf City,"This ready to move-in 2 BHK flat is available for sale at the premium Ansal API Golf City in Lucknow. Situated in the Santusthi Apartment township, it has a prime location. This is a desirable apartment for resale. This ready to move property in Ansal API Golf City is readily available within an affordable cost of INR 48 Lac. The flat is available in semi-furnished condition. The flat is in close proximity to prominent landmarks like near lulu mall and medhanta hospital and cms school.",48 Lac ,5085.0,lucknow,750.0,Ready to Move,1.0,Resale,Semi-Furnished,North - West,"Garden/Park, Main Road",Santusthi apartment,2.0,2,,Freehold,,,
24162,2 BHK Ready to Occupy Flat for sale HAL 2nd Stage Indiranagar,"Carefully laid out in the prime location of HAL Stage 2 in Bangalore, this spacious 2 BHK flat on sale is a meticulously planned project. This flat for sale is just the type of property you have been searching for! This ready to move flat in HAL Stage 2 can be taken at a very economical pricing of INR 1.30 Cr. The handing over of this property has been made available on Jul '23. This flat is an ideal choice because it is an unfurnished apartment with all basic amenities.",1.30 Cr ,11818.0,bangalore,900.0,Ready to Move,2.0,New Property,Unfurnished,East,,,2.0,1,1 Covered,Freehold,,,
41899,2 BHK Ready to Occupy Flat for sale Sowcarpet,This ready to move-in 2 BHK flat is available for sale at the premium Sowcarpet in Chennai. Invest your valuable money in this flat that is for resale. This ready to move flat in Sowcarpet comes at an affordable price of INR 40 Lac. The flat is furnished and is suitable for any family size.,40 Lac ,4000.0,chennai,750.0,Ready to Move,3.0,Resale,Furnished,,,,3.0,,,Freehold,,,
166640,3 BHK Ready to Occupy Flat for sale Ghorabandha,"This attractive 3 BHK apartment can be found for sale in Ghorabandha, Jamshedpur. Invest your valuable money in this flat that is for resale. The ready to move flat in the prime area of Ghorabandha is available at a reasonable price of INR 50 Lac. You will find it semi-furnished.",50 Lac ,3704.0,jamshedpur,1350.0,Ready to Move,1.0,Resale,Semi-Furnished,South - East,Main Road,,2.0,2,,,,,
102129,2 BHK Ready to Occupy Flat for sale in Arbi 5th Avenue Madhyamgram,"New fully furnished flat of 3yrs with separate covered garrage of 160 sq feet. Jessore road 3min, Madhyamgram Chowmatha 7min, Madhyamgram Station 5min, Star mall 4min. Owner property, NO BROKERAGE. 2BEDROOMS, 2TOILETS, 1BALCONY. Modular kitchen with Chimney, 2 wardrobes, False Ceiling across all the rooms, TV unit, Wine Rack, Curtains, Pureit Ultima water Purifier, 1 king size hydrolic storage Bed, Air conditionerAC pre installed. Prime location. Negotiable. Urgent Sale",31 Lac ,3827.0,kolkata,680.0,Ready to Move,3.0,Resale,Furnished,South -West,Main Road,Arbi 5th Avenue,2.0,1,,Freehold,,,
51878,4 BHK Ready to Occupy Flat for sale in Rosewood City Sector 49,"Carefully laid out in the prime location of Sector 49 in Gurgaon, this spacious 4 BHK flat on sale is a meticulously planned project. Situated in the Rosewood City township, it has a prime location. This is one of the best properties available for sale. This ready to move flat in Sector 49 comes at an affordable price of INR 2.20 Cr. The flat is furnished and makes for an ideal choice for any family. Some of the landmarks in the vicinity include near nirvana country.",2.20 Cr ,7333.0,gurgaon,2800.0,Ready to Move,1.0,New Property,Furnished,North - East,Garden/Park,Rosewood City,4.0,4,"2 Covered,",Freehold,,,
155573,3 BHK Ready to Occupy Flat for sale in RPS Savana Sector 88,"This gorgeous 3 BHK Flat is available for sale in Sector 88, Faridabad. Situated in the excellent Rps Savana township. The flat enjoys a prime location. This flat is an attractive property for resale. The ready to move flat in Sector 88 is all ready for sale at a low-priced budget of INR 72 Lac. This flat is an ideal choice because it is an unfurnished apartment with all basic amenities. Some neighbouring landmarks are amolik chowk..",72 Lac ,4335.0,faridabad,1300.0,Ready to Move,14.0,Resale,Unfurnished,North,Main Road,RPS Savana,3.0,3,1 Covered,Freehold,,,
96783,3 BHK Ready to Occupy Flat for sale in Elita Garden Vista Action Area III,"3BHK with 1956 sqft flat available for sale in a most renowned complex Alaktika in New Town AA3, which is well connected from all basic necessity, this flat is located in north east corner, with a covered register car parking space. All modern amenities like Intercom facility, security personnel, maintenance staff, park, water storage, club house, community center, fitness centre. Area is quite calm ideal for leaving with family.",1.21 Cr ,6189.0,kolkata,1450.0,Ready to Move,18.0,Resale,Furnished,North - East,Garden/Park,Elita Garden Vista,3.0,2,1 Covered,Freehold,,,
44821,2 BHK Ready to Occupy Flat for sale in Sri Vasantham Apartment Medavakkam,"This magnificent 2 BHK Flat is available for sale in Medavakkam, Chennai. It is based at Sri Vasantham Apartment complex, that occupies a prominent place in the locality. This flat for resale is a choice property. This ready to move flat in Medavakkam comes at an affordable price of INR 45 Lac. It is semi-furnished to accommodate your needs. Landmarks near the apartment include just 900m from medavakkam bus stop.",45 Lac ,4956.0,chennai,908.0,Ready to Move,2.0,Resale,Semi-Furnished,South,Garden/Park,,2.0,2,1 Covered,Freehold,,,
82072,3 BHK Ready to Occupy Flat for sale Saidabad,"This lovely 3 BHK Flat in Saidabad, Hyderabad is up for sale. This flat for resale has a desirable location. This ready to move flat located in Saidabad is available for purchase at a fair price of INR 90 Lac. This immaculate flat boasts of coming in unfurnished form which takes the entire deal to the next level.",90 Lac ,5566.0,hyderabad,1602.0,Ready to Move,3.0,Resale,Unfurnished,,,,3.0,1,,,,,
38910,3 BHK Ready to Occupy Flat for sale in Sriven Rag Metropole J P Nagar,"JP Nagar, Bangalore has an attractive 3 BHK Flat for sale. Strategically situated in the Sriven Rag Metropole site, it is placed at a prime location. This apartment is a property of choice for resale. This ready to move flat is offered at an economical price of INR 63 Lac. You will find it semi-furnished. Landmarks near the apartment include national public school.",63 Lac ,3877.0,bangalore,1435.0,Ready to Move,3.0,Resale,Semi-Furnished,East,,,3.0,3,"1 Covered,",Freehold,,,
